campaign_id,campaign_name,channel,campaign_type,start_date,impressions,clicks,conversions,spend,revenue_generated
M001,Campaign 01,Google Ads,Old,2025-01-01,31447,16896,1736,148380.38,2479351.49
M002,Campaign 02,Facebook,Old,2025-02-01,40415,20412,155,95356.77,295855.42
M003,Campaign 03,Instagram,Old,2025-03-01,224608,224708,819,75543.05,1341322.72
M004,Campaign 04,Email,Old,2025-04-01,178327,7465,619,137883.97,918862.12
M005,Campaign 05,YouTube,Old,2025-05-01,161956,14570,14580,46590.08,2820711.38
M006,Campaign 06,Google Ads,Old,2025-06-01,105792,15210,1007,113911.95,911616.74
M007,Campaign 07,Facebook,Old,2025-07-01,209826,8028,630,136048.04,583560.25
M008,Campaign 08,Instagram,Old,2025-08-01,163797,3222,1425,59429.49,1727926.63
M009,Campaign 09,Email,New,2025-09-01,125705,9317,1087,123190.39,1143195.5
M010,Campaign 10,YouTube,New,2025-10-01,113719,3158,477,136312.31,503455.65
M011,Campaign 11,Google Ads,New,2025-11-01,107920,3431,727,34373.74,1223949.22
M012,Campaign 12,Email,New,2025-12-01,156569,24199,349,68444.73,588795.08
