order_item_id,order_id,product_id,quantity,unit_price,discount
OI000001,O00001,P015,1,7330.81,0.1
OI000002,O00001,P004,3,3768.92,0.05
OI000003,O00001,P003,3,6285.84,0.3
OI000004,O00001,P034,1,5252.02,0.05
OI000005,O00002,P059,2,4842.61,0.05
OI000006,O00003,P006,2,4253.34,0.2
OI000007,O00004,P001,2,5060.04,0.2
OI000008,O00005,P020,4,5123.92,0.2
OI000009,O00005,P013,3,1662.63,0.2
OI000010,O00006,P002,3,3793.81,0.3
OI000011,O00006,P030,4,6724.47,0.05
OI000012,O00007,P022,4,5959.11,0.2
OI000013,O00008,P013,-2,1662.63,0.15
OI000014,O00009,P059,3,4842.61,0.05
OI000015,O00009,P017,1,5112.9,0.3
OI000016,O00009,P051,4,3109.99,0.0
OI000017,O00009,P003,3,6285.84,0.1
OI000018,O00010,P080,2,5576.76,0.2
OI000019,O00010,P068,4,7430.32,0.0
OI000020,O00011,P038,4,2828.73,0.3
OI000021,O00011,P055,3,3905.29,0.3
OI000022,O00011,P047,3,6217.65,0.2
OI000023,O00011,P006,3,4253.34,0.2
OI000024,O00012,P041,2,1494.52,0.3
OI000025,O00013,P052,1,5599.03,0.3
OI000026,O00014,P068,2,7430.32,0.05
OI000027,O00014,P078,1,5006.54,0.3
OI000028,O00014,P019,4,3112.57,0.1
OI000029,O00014,P040,1,5866.02,0.05
OI000030,O00015,P026,3,5470.33,0.3
OI000031,O00015,P037,2,3125.99,0.15
OI000032,O00015,P001,2,5060.04,0.2
OI000033,O00015,P032,3,6623.25,0.05
OI000034,O00016,P018,1,3329.63,0.3
OI000035,O00016,P070,2,4988.16,0.05
OI000036,O00016,P058,1,4600.81,0.2
OI000037,O00016,P067,3,3139.17,0.1
OI000038,O00017,P047,3,6217.65,0.1
OI000039,O00017,P023,3,6282.87,0.15
OI000040,O00017,P044,2,4748.93,0.05
OI000041,O00017,P025,3,3270.83,0.3
OI000042,O00018,P041,2,1494.52,0.3
OI000043,O00018,P079,4,2345.86,0.05
OI000044,O00018,P072,2,3098.66,0.05
OI000045,O00018,P050,1,2647.44,0.05
OI000046,O00019,P013,3,1662.63,0.05
OI000047,O00019,P022,3,5959.11,0.05
OI000048,O00020,P076,1,1644.18,0.2
OI000049,O00020,P051,1,3109.99,0.05
OI000050,O00020,P005,4,3320.34,0.05
OI000051,O00021,P010,2,7442.3,0.0
OI000052,O00021,P001,2,5060.04,0.05
OI000053,O00021,P016,3,3833.17,0.3
OI000054,O00022,P016,4,3833.17,0.1
OI000055,O00022,P072,1,3098.66,0.3
OI000056,O00022,P018,3,3329.63,0.2
OI000057,O00023,P055,3,3905.29,0.1
OI000058,O00023,P010,4,7442.3,0.3
OI000059,O00024,P009,4,4981.98,0.15
OI000060,O00024,P070,2,4988.16,0.0
OI000061,O00025,P055,2,3905.29,0.1
OI000062,O00025,P066,1,6217.53,0.0
OI000063,O00026,P009,3,4981.98,0.2
OI000064,O00026,P046,4,6490.81,0.1
OI000065,O00027,P056,3,5689.43,0.0
OI000066,O00027,P070,2,4988.16,0.05
OI000067,O00028,P067,1,3139.17,0.0
OI000068,O00028,P003,2,6285.84,0.0
OI000069,O00028,P080,3,5576.76,0.0
OI000070,O00028,P023,4,6282.87,0.3
OI000071,O00029,P074,2,7323.07,0.2
OI000072,O00029,P004,4,3768.92,0.3
OI000073,O00029,P075,2,6578.23,0.1
OI000074,O00030,P023,2,6282.87,0.1
OI000075,O00031,P068,1,7430.32,0.1
OI000076,O00031,P062,3,1993.86,0.05
OI000077,O00032,P058,2,4600.81,0.1
OI000078,O00032,P064,2,4726.39,0.2
OI000079,O00033,P014,1,5526.86,0.15
OI000080,O00033,P032,4,6623.25,0.2
OI000081,O00034,P079,4,2345.86,0.1
OI000082,O00034,P078,4,5006.54,0.1
OI000083,O00035,P068,4,7430.32,0.0
OI000084,O00035,P011,3,7495.81,0.1
OI000085,O00036,P006,2,4253.34,0.2
OI000086,O00036,P014,2,5526.86,0.05
OI000087,O00037,P049,2,6189.2,0.15
OI000088,O00037,P035,1,4806.84,0.05
OI000089,O00038,P005,2,3320.34,0.1
OI000090,O00038,P027,1,5678.95,0.15
OI000091,O00038,P033,3,2579.49,0.05
OI000092,O00038,P047,4,6217.65,0.15
OI000093,O00039,P060,1,1760.75,0.15
OI000094,O00039,P027,4,5678.95,0.1
OI000095,O00039,P006,1,4253.34,0.05
OI000096,O00039,P057,2,3618.93,0.3
OI000097,O00040,P028,3,6060.07,0.05
OI000098,O00041,P030,2,6724.47,0.0
OI000099,O00041,P061,2,5698.31,0.15
OI000100,O00041,P071,3,3503.29,0.05
OI000101,O00041,P059,1,4842.61,0.05
OI000102,O00042,P030,3,6724.47,0.0
OI000103,O00042,P062,1,1993.86,0.0
OI000104,O00043,P035,4,4806.84,0.0
OI000105,O00043,P050,4,2647.44,0.05
