order_id,customer_id,order_date,order_status
O00001,C0326,2025-07-17 00:00:00,Delivered
O00002,C0431,2025-04-14 00:00:00,Delivered
O00003,C0091,2026-03-01 00:00:00,Cancelled
O00004,C0161,invalid_date,Delivered
O00005,C0172,2025-11-11 00:00:00,Delivered
O00006,C0181,2026-03-19 00:00:00,Delivered
O00007,C0123,2026-07-31 00:00:00,Pending
O00008,C0028,2025-06-25 00:00:00,Delivered
O00009,C0263,2025-01-05 00:00:00,Delivered
O00010,C0179,2026-03-17 00:00:00,Pending
O00011,C0172,2025-01-01 00:00:00,Delivered
O00012,C0133,2025-02-10 00:00:00,Delivered
O00013,C0465,2026-08-26 00:00:00,Delivered
O00014,C0306,2026-06-09 00:00:00,Cancelled
O00015,C0210,2026-03-07 00:00:00,Cancelled
O00016,C0103,2026-05-24 00:00:00,Cancelled
O00017,C0401,2025-02-15 00:00:00,Delivered
O00018,C0445,2025-02-24 00:00:00,Delivered
O00019,C0017,2025-07-02 00:00:00,Pending
O00020,C0465,2025-01-15 00:00:00,Pending
O00021,C9999,2026-06-25 00:00:00,Delivered
O00022,C0050,2025-02-04 00:00:00,Cancelled
O00023,C0377,2025-11-27 00:00:00,Pending
O00024,C0054,2026-06-04 00:00:00,Delivered
O00025,C0026,2026-03-23 00:00:00,Cancelled
O00026,C0058,2025-05-23 00:00:00,Delivered
O00027,C0230,2025-10-13 00:00:00,Delivered
O00028,C0310,2025-11-30 00:00:00,Delivered
O00029,C0204,2026-04-12 00:00:00,Delivered
O00030,C0061,2025-09-17 00:00:00,Pending
O00031,C0100,2025-06-23 00:00:00,Cancelled
O00032,C0427,2026-04-29 00:00:00,Cancelled
O00033,C0482,2026-06-23 00:00:00,Delivered
O00034,C0378,2025-10-25 00:00:00,Pending
O00035,C0052,2025-01-18 00:00:00,Delivered
O00036,C0410,2025-11-01 00:00:00,Pending
O00037,C0346,2026-06-25 00:00:00,Delivered
O00038,C0264,2026-08-25 00:00:00,Delivered
O00039,C0072,2025-09-01 00:00:00,Delivered
O00040,C0499,2025-04-02 00:00:00,Cancelled
O00041,C0222,2025-12-14 00:00:00,Delivered
O00042,C0023,2026-05-21 00:00:00,Delivered
O00043,C0105,2026-07-29 00:00:00,Delivered
O00044,C0201,2025-02-01 00:00:00,Cancelled
O00045,C0032,2025-06-26 00:00:00,Delivered
O00046,C0162,2025-10-18 00:00:00,Delivered
O00047,C0235,2025-03-01 00:00:00,Delivered
O00048,C0475,2026-06-23 00:00:00,Delivered
O00049,C0044,2025-03-10 00:00:00,Cancelled
O00050,C0289,2026-02-09 00:00:00,Cancelled
O00051,C0458,2026-07-13 00:00:00,Delivered
O00052,C0404,2026-02-21 00:00:00,Cancelled
O00053,C0463,2026-04-10 00:00:00,Delivered
O00054,C0086,2025-06-10 00:00:00,Cancelled
O00055,C0401,2026-05-19 00:00:00,Delivered
O00056,C0490,2025-09-12 00:00:00,Delivered
O00057,C0164,2025-02-07 00:00:00,Delivered
O00058,C0250,2025-08-11 00:00:00,Delivered
O00059,C0266,2025-08-01 00:00:00,Cancelled
O00060,C0247,2025-11-14 00:00:00,Pending
O00061,C0145,2025-06-11 00:00:00,Pending
O00062,C0486,2025-10-09 00:00:00,Delivered
O00063,C0479,2025-09-18 00:00:00,Delivered
O00064,C0191,2025-07-18 00:00:00,Delivered
O00065,C0403,2026-02-28 00:00:00,Cancelled
O00066,C0199,2025-07-05 00:00:00,Delivered
O00067,C0398,2026-04-11 00:00:00,Delivered
O00068,C0293,2025-06-02 00:00:00,Delivered
O00069,C0236,2026-06-10 00:00:00,Delivered
O00070,C0065,2025-08-10 00:00:00,Delivered
O00071,C0328,2025-01-25 00:00:00,Cancelled
