product_id,product_name,category,cost_price,list_price,stock_qty
P001,Product 001,Books,594.86,5060.04,11
P002,Product 002,Electronics,3387.33,3793.81,174
P003,Product 003,Fashion,3329.26,6285.84,226
P004,Product 004,Fashion,3365.11,3768.92,169
P005,Product 005,Sports,245.87,3320.34,121
P006,Product 006,Electronics,1733.75,4253.34,250
P007,Product 007,Fashion,1109.38,3880.55,117
P008,Product 008,Electronics,-100.0,5224.68,216
P009,Product 009,Sports,4324.06,4981.98,144
P010,Product 010,Beauty,1346.4,7442.3,17
P011,Product 011,Fashion,3389.07,7495.81,163
P012,Product 012,Fashion,777.41,3994.33,24
P013,Product 013,Electronics,1484.49,1662.63,279
P014,Product 014,Books,822.47,5526.86,184
P015,Product 015,Beauty,1525.08,7330.81,117
P016,Product 016,,3422.47,3833.17,150
P017,Product 017,Fashion,4565.09,5112.9,189
P018,Product 018,Sports,1132.23,3329.63,85
P019,Product 019,Sports,2779.08,3112.57,93
P020,Product 020,Fashion,3551.75,5123.92,131
P021,Product 021,Home & Kitchen,4771.67,5344.27,84
P022,Product 022,Beauty,3108.79,5959.11,229
P023,Product 023,Beauty,1387.27,6282.87,40
P024,Product 024,Beauty,3183.57,6203.92,249
P025,Product 025,Electronics,1704.38,3270.83,111
P026,Product 026,Fashion,4884.22,5470.33,172
P027,Product 027,Beauty,2088.43,5678.95,55
P028,Product 028,Books,3474.32,6060.07,121
P029,Product 029,Beauty,262.65,3811.62,228
P030,Product 030,Fashion,2090.3,6724.47,88
P031,Product 031,Beauty,4394.27,4921.58,48
P032,Product 032,Home & Kitchen,3109.6,6623.25,161
P033,Product 033,Electronics,2303.12,2579.49,57
P034,Product 034,Sports,4689.3,5252.02,101
P035,Product 035,Books,4291.82,4806.84,140
P036,Product 036,Books,1712.75,1918.28,173
P037,Product 037,Beauty,2791.06,3125.99,195
P038,Product 038,Electronics,2525.65,2828.73,206
P039,Product 039,Books,3216.18,3602.12,254
P040,Product 040,Fashion,1770.44,5866.02,29
P041,Product 041,Home & Kitchen,1334.39,1494.52,115
P042,Product 042,Books,4576.46,5125.64,10
P043,Product 043,Sports,4630.79,6217.67,12
P044,Product 044,Sports,4240.12,4748.93,71
P045,Product 045,Home & Kitchen,4894.29,5481.6,183
P046,Product 046,Books,3763.21,6490.81,269
P047,Product 047,Fashion,3858.64,6217.65,234
P048,Product 048,Beauty,3848.56,4310.39,197
P049,Product 049,Sports,2480.95,6189.2,235
P050,Product 050,Beauty,2363.79,2647.44,59
P051,Product 051,Home & Kitchen,1315.1,3109.99,253
P052,Product 052,Home & Kitchen,3277.37,5599.03,268
P053,Product 053,Fashion,1553.2,2116.53,37
P054,Product 054,Books,1400.37,5704.38,146
P055,Product 055,Sports,2991.91,3905.29,250
P056,Product 056,Fashion,2138.41,5689.43,148
P057,Product 057,Sports,1211.45,3618.93,253
P058,Product 058,Sports,4107.87,4600.81,281
P059,Product 059,Fashion,4323.76,4842.61,147
P060,Product 060,Fashion,963.34,1760.75,27
P061,Product 061,Books,186.41,5698.31,108
P062,Product 062,Beauty,1780.23,1993.86,72
P063,Product 063,Electronics,4017.93,4500.08,147
P064,Product 064,Sports,4219.99,4726.39,179
P065,Product 065,Beauty,820.9,1521.26,144
P066,Product 066,Beauty,3905.53,6217.53,66
P067,Product 067,Sports,711.17,3139.17,97
P068,Product 068,Books,2041.8,7430.32,207
P069,Product 069,Home & Kitchen,4993.26,5592.45,17
P070,Product 070,Fashion,1084.07,4988.16,72
P071,Product 071,Home & Kitchen,896.72,3503.29,268
P072,Product 072,Beauty,2200.58,3098.66,38
P073,Product 073,Fashion,3155.39,6594.36,130
P074,Product 074,Fashion,4674.57,7323.07,70
P075,Product 075,Sports,4906.98,6578.23,40
P076,Product 076,Fashion,487.76,1644.18,132
P077,Product 077,Fashion,819.29,1850.78,161
P078,Product 078,Fashion,3985.08,5006.54,61
P079,Product 079,Home & Kitchen,1462.57,2345.86,32
P080,Product 080,Electronics,4441.52,5576.76,49
