return_id,order_id,product_id,return_date,return_reason,refund_amount
RET00001,O00240,P059,2026-06-20,Late Delivery,17433.4
RET00002,O01463,P044,2025-06-22,Late Delivery,12109.77
RET00003,O01893,P049,2026-05-06,Late Delivery,5879.74
RET00004,O01529,P024,2026-09-29,Late Delivery,18611.76
RET00005,O01760,P053,2025-03-05,Damaged,1799.05
RET00006,O02191,P050,2026-07-17,Quality Issue,-50.0
RET00007,O01408,P017,2026-07-16,Wrong Item,4857.25
RET00008,O01171,P055,2026-07-01,Damaged,3905.29
RET00009,O00100,P076,2025-10-16,Wrong Item,1644.18
RET00010,O01436,P023,2025-06-24,Quality Issue,4398.01
RET00011,O00213,P059,2026-04-29,Wrong Item,4842.61
RET00012,O01774,P049,2026-02-25,Damaged,23518.96
RET00013,O00771,P026,2026-04-26,Quality Issue,9846.59
RET00014,O01673,P017,2025-07-27,Damaged,19429.02
RET00015,O01552,P075,2025-06-11,Damaged,12498.64
RET00016,O01719,P052,2026-08-05,Quality Issue,14277.53
RET00017,O02054,P035,2025-12-24,Damaged,4566.5
RET00018,O00021,P010,2026-07-07,Late Delivery,14884.6
RET00019,O01866,P029,2026-08-20,Late Delivery,3239.88
RET00020,O00943,P070,2025-11-22,Late Delivery,4738.75
RET00021,O01010,P040,2025-07-31,Damaged,5572.72
RET00022,O01032,P065,2026-08-02,Quality Issue,5172.28
RET00023,O00180,P009,2026-04-19,Late Delivery,15942.34
RET00024,O01655,P074,2026-03-22,Quality Issue,6224.61
RET00025,O01452,P063,2026-09-07,Wrong Item,4275.08
RET00026,O00379,P053,2025-07-21,Late Delivery,4021.41
RET00027,O00730,P009,2025-09-26,Wrong Item,11956.75
RET00028,O00372,P055,2025-03-23,Late Delivery,6248.46
RET00029,O01275,P066,2025-10-11,Damaged,11813.31
RET00030,O00157,P027,2025-11-14,Changed Mind,21580.01
RET00031,O02001,P060,2025-11-18,Damaged,2817.2
RET00032,O01967,P032,2025-05-27,Late Delivery,18545.1
RET00033,O01197,P064,2026-06-13,Wrong Item,8507.5
RET00034,O00279,P041,2025-12-09,Damaged,4035.2
RET00035,O01621,P016,2025-11-10,Late Delivery,13799.41
RET00036,O00921,P059,2026-07-15,Late Delivery,7748.18
RET00037,O01765,P059,2025-12-08,Late Delivery,4116.22
RET00038,O00113,P014,2026-07-31,Quality Issue,17685.95
RET00039,O01007,P018,2025-07-07,Damaged,10654.82
RET00040,O00875,P056,2026-07-07,Wrong Item,19344.06
RET00041,O00862,P076,2026-09-25,Damaged,1150.93
RET00042,O01246,P012,2026-05-10,Damaged,15178.45
RET00043,O00214,P034,2026-07-31,Damaged,14968.26
RET00044,O01302,P053,2026-05-04,Quality Issue,6772.9
RET00045,O00166,P045,2026-02-12,Changed Mind,9866.88
RET00046,O02003,P020,2026-05-17,Quality Issue,4355.33
RET00047,O01127,P058,2026-09-09,Wrong Item,14722.59
