campaign_id,campaign_name,channel,campaign_type,start_date,impressions,clicks,conversions,spend,revenue_generated,ctr,conversion_rate,cac,roi
M001,Campaign 01,Google Ads,Old,2025-01-01,31447,16896,1736,148380.38,2479351.49,0.5372849556396476,0.10274621212121213,85.47256912442397,16.70942944073873
M002,Campaign 02,Facebook,Old,2025-02-01,40415,20412,155,95356.77,295855.42,0.5050600024743288,0.007593572408387223,615.2049677419355,3.102615787007047
M003,Campaign 03,Instagram,Old,2025-03-01,224608,224608,819,75543.05,1341322.72,1.0,0.0036463527568029635,92.23815628815629,17.755739541890353
M004,Campaign 04,Email,Old,2025-04-01,178327,7465,619,137883.97,918862.12,0.04186129974709382,0.08292029470864032,222.7527786752827,6.6640242516951025
M005,Campaign 05,YouTube,Old,2025-05-01,161956,14570,14570,46590.08,2820711.38,0.08996270592012645,1.0,3.197671928620453,60.54317528538264
M006,Campaign 06,Google Ads,Old,2025-06-01,105792,15210,1007,113911.95,911616.74,0.14377268602540835,0.06620644312952005,113.12010923535253,8.00281919500105
M007,Campaign 07,Facebook,Old,2025-07-01,209826,8028,630,136048.04,583560.25,0.038260272797460755,0.07847533632286996,215.94926984126985,4.289369034643939
M008,Campaign 08,Instagram,Old,2025-08-01,163797,3222,1425,59429.49,1727926.63,0.01967068993937618,0.44227188081936686,41.70490526315789,29.07523907743445
M009,Campaign 09,Email,New,2025-09-01,125705,9317,1087,123190.39,1143195.5,0.07411797462312557,0.11666845551143072,113.330625574977,9.27990811620939
M010,Campaign 10,YouTube,New,2025-10-01,113719,3158,477,136312.31,503455.65,0.027770205506555633,0.15104496516782773,285.7700419287212,3.693398270486356
M011,Campaign 11,Google Ads,New,2025-11-01,107920,3431,727,34373.74,1223949.22,0.03179206819866568,0.21189157679976683,47.28162310866575,35.60710065299848
M012,Campaign 12,Email,New,2025-12-01,156569,24199,349,68444.73,588795.08,0.15455805427638933,0.014422083557171783,196.11670487106016,8.602489629223463
