order_item_id,order_id,product_id,quantity,unit_price,discount,cost_price,gross_sales,discount_amount,revenue,cost,profit,profit_margin
OI003444,O01369,P010,4,7442.3,0,1346.4,29769.2,0,29769.2,5385.6,24383.6,0.819088185
OI005229,O02079,P015,4,7330.81,0,1525.08,29323.24,0,29323.24,6100.32,23222.92,0.791962962
OI000186,O00075,P010,4,7442.3,0.05,1346.4,29769.2,1488.46,28280.74,5385.6,22895.14,0.809566511
OI000315,O00125,P010,4,7442.3,0.05,1346.4,29769.2,1488.46,28280.74,5385.6,22895.14,0.809566511
OI001080,O00420,P010,4,7442.3,0.05,1346.4,29769.2,1488.46,28280.74,5385.6,22895.14,0.809566511
OI005276,O02097,P010,4,7442.3,0.05,1346.4,29769.2,1488.46,28280.74,5385.6,22895.14,0.809566511
OI002901,O01151,P061,4,5698.31,0,186.41,22793.24,0,22793.24,745.64,22047.6,0.967286792
OI004127,O01652,P061,4,5698.31,0,186.41,22793.24,0,22793.24,745.64,22047.6,0.967286792
OI004391,O01758,P061,4,5698.31,0,186.41,22793.24,0,22793.24,745.64,22047.6,0.967286792
OI005120,O02037,P061,4,5698.31,0,186.41,22793.24,0,22793.24,745.64,22047.6,0.967286792
OI000669,O00264,P015,4,7330.81,0.05,1525.08,29323.24,1466.162,27857.078,6100.32,21756.758,0.781013644
OI002131,O00841,P015,4,7330.81,0.05,1525.08,29323.24,1466.162,27857.078,6100.32,21756.758,0.781013644
OI004325,O01730,P015,4,7330.81,0.05,1525.08,29323.24,1466.162,27857.078,6100.32,21756.758,0.781013644
OI005020,O02000,P015,4,7330.81,0.05,1525.08,29323.24,1466.162,27857.078,6100.32,21756.758,0.781013644
OI005326,O02118,P015,4,7330.81,0.05,1525.08,29323.24,1466.162,27857.078,6100.32,21756.758,0.781013644
OI000019,O00010,P068,4,7430.32,0,2041.8,29721.28,0,29721.28,8167.2,21554.08,0.72520699
OI000083,O00035,P068,4,7430.32,0,2041.8,29721.28,0,29721.28,8167.2,21554.08,0.72520699
OI001595,O00633,P010,4,7442.3,0.1,1346.4,29769.2,2976.92,26792.28,5385.6,21406.68,0.798986872
OI004899,O01957,P010,4,7442.3,0.1,1346.4,29769.2,2976.92,26792.28,5385.6,21406.68,0.798986872
OI003712,O01482,P061,4,5698.31,0.05,186.41,22793.24,1139.662,21653.578,745.64,20907.938,0.965565044
OI003776,O01506,P061,4,5698.31,0.05,186.41,22793.24,1139.662,21653.578,745.64,20907.938,0.965565044
OI005029,O02003,P061,4,5698.31,0.05,186.41,22793.24,1139.662,21653.578,745.64,20907.938,0.965565044
OI003940,O01578,P015,4,7330.81,0.1,1525.08,29323.24,2932.324,26390.916,6100.32,20290.596,0.768847735
OI001005,O00392,P068,4,7430.32,0.05,2041.8,29721.28,1486.064,28235.216,8167.2,20068.016,0.7107442
OI001654,O00655,P068,4,7430.32,0.05,2041.8,29721.28,1486.064,28235.216,8167.2,20068.016,0.7107442
OI003275,O01304,P068,4,7430.32,0.05,2041.8,29721.28,1486.064,28235.216,8167.2,20068.016,0.7107442
OI002472,O00980,P010,4,7442.3,0.15,1346.4,29769.2,4465.38,25303.82,5385.6,19918.22,0.787162571
OI003334,O01325,P010,4,7442.3,0.15,1346.4,29769.2,4465.38,25303.82,5385.6,19918.22,0.787162571
OI004960,O01976,P010,4,7442.3,0.15,1346.4,29769.2,4465.38,25303.82,5385.6,19918.22,0.787162571
OI000306,O00121,P061,4,5698.31,0.1,186.41,22793.24,2279.324,20513.916,745.64,19768.276,0.963651991
OI003086,O01226,P061,4,5698.31,0.1,186.41,22793.24,2279.324,20513.916,745.64,19768.276,0.963651991
OI004281,O01707,P061,4,5698.31,0.1,186.41,22793.24,2279.324,20513.916,745.64,19768.276,0.963651991
OI000737,O00291,P014,4,5526.86,0,822.47,22107.44,0,22107.44,3289.88,18817.56,0.85118675
OI005336,O02122,P061,4,5698.31,0.15,186.41,22793.24,3418.986,19374.254,745.64,18628.614,0.961513873
OI001297,O00505,P068,4,7430.32,0.1,2041.8,29721.28,2972.128,26749.152,8167.2,18581.952,0.694674433
OI002438,O00968,P068,4,7430.32,0.1,2041.8,29721.28,2972.128,26749.152,8167.2,18581.952,0.694674433
OI003530,O01403,P030,4,6724.47,0,2090.3,26897.88,0,26897.88,8361.2,18536.68,0.689150223
OI000626,O00246,P010,4,7442.3,0.2,1346.4,29769.2,5953.84,23815.36,5385.6,18429.76,0.773860231
OI001228,O00482,P010,4,7442.3,0.2,1346.4,29769.2,5953.84,23815.36,5385.6,18429.76,0.773860231
OI002235,O00881,P010,4,7442.3,0.2,1346.4,29769.2,5953.84,23815.36,5385.6,18429.76,0.773860231
OI001699,O00673,P023,4,6282.87,0.05,1387.27,25131.48,1256.574,23874.906,5549.08,18325.826,0.767576886
OI003454,O01374,P023,4,6282.87,0.05,1387.27,25131.48,1256.574,23874.906,5549.08,18325.826,0.767576886
OI000732,O00289,P010,3,7442.3,0,1346.4,22326.9,0,22326.9,4039.2,18287.7,0.819088185
OI001236,O00484,P010,3,7442.3,0,1346.4,22326.9,0,22326.9,4039.2,18287.7,0.819088185
OI002517,O00998,P010,3,7442.3,0,1346.4,22326.9,0,22326.9,4039.2,18287.7,0.819088185
OI003096,O01232,P010,3,7442.3,0,1346.4,22326.9,0,22326.9,4039.2,18287.7,0.819088185
OI004247,O01694,P001,4,5060.04,0,594.86,20240.16,0,20240.16,2379.44,17860.72,0.882439665
OI001274,O00498,P014,4,5526.86,0.05,822.47,22107.44,1105.372,21002.068,3289.88,17712.188,0.843354473
OI002651,O01048,P014,4,5526.86,0.05,822.47,22107.44,1105.372,21002.068,3289.88,17712.188,0.843354473
OI003975,O01590,P014,4,5526.86,0.05,822.47,22107.44,1105.372,21002.068,3289.88,17712.188,0.843354473
OI004389,O01757,P014,4,5526.86,0.05,822.47,22107.44,1105.372,21002.068,3289.88,17712.188,0.843354473
OI004671,O01873,P014,4,5526.86,0.05,822.47,22107.44,1105.372,21002.068,3289.88,17712.188,0.843354473
OI004974,O01981,P014,4,5526.86,0.05,822.47,22107.44,1105.372,21002.068,3289.88,17712.188,0.843354473
OI001893,O00746,P061,4,5698.31,0.2,186.41,22793.24,4558.648,18234.592,745.64,17488.952,0.95910849
OI003496,O01389,P061,4,5698.31,0.2,186.41,22793.24,4558.648,18234.592,745.64,17488.952,0.95910849
OI003632,O01448,P061,4,5698.31,0.2,186.41,22793.24,4558.648,18234.592,745.64,17488.952,0.95910849
OI000422,O00165,P015,3,7330.81,0,1525.08,21992.43,0,21992.43,4575.24,17417.19,0.791962962
OI001414,O00555,P015,4,7330.81,0.2,1525.08,29323.24,5864.648,23458.592,6100.32,17358.272,0.739953702
OI002890,O01147,P015,4,7330.81,0.2,1525.08,29323.24,5864.648,23458.592,6100.32,17358.272,0.739953702
OI004518,O01817,P015,4,7330.81,0.2,1525.08,29323.24,5864.648,23458.592,6100.32,17358.272,0.739953702
OI001909,O00753,P054,4,5704.38,0,1400.37,22817.52,0,22817.52,5601.48,17216.04,0.754509693
OI000011,O00006,P030,4,6724.47,0.05,2090.3,26897.88,1344.894,25552.986,8361.2,17191.786,0.672789708
OI005318,O02114,P030,4,6724.47,0.05,2090.3,26897.88,1344.894,25552.986,8361.2,17191.786,0.672789708
OI002627,O01039,P010,3,7442.3,0.05,1346.4,22326.9,1116.345,21210.555,4039.2,17171.355,0.809566511
OI004881,O01952,P010,3,7442.3,0.05,1346.4,22326.9,1116.345,21210.555,4039.2,17171.355,0.809566511
OI000377,O00148,P068,4,7430.32,0.15,2041.8,29721.28,4458.192,25263.088,8167.2,17095.888,0.676714106
OI005158,O02052,P068,4,7430.32,0.15,2041.8,29721.28,4458.192,25263.088,8167.2,17095.888,0.676714106
OI005256,O02089,P068,4,7430.32,0.15,2041.8,29721.28,4458.192,25263.088,8167.2,17095.888,0.676714106
OI003462,O01378,P023,4,6282.87,0.1,1387.27,25131.48,2513.148,22618.332,5549.08,17069.252,0.754664491
OI004486,O01801,P023,4,6282.87,0.1,1387.27,25131.48,2513.148,22618.332,5549.08,17069.252,0.754664491
OI000691,O00274,P001,4,5060.04,0.05,594.86,20240.16,1012.008,19228.152,2379.44,16848.712,0.876252278
OI004388,O01757,P001,4,5060.04,0.05,594.86,20240.16,1012.008,19228.152,2379.44,16848.712,0.876252278
OI003838,O01535,P014,4,5526.86,0.1,822.47,22107.44,2210.744,19896.696,3289.88,16606.816,0.834651944
OI000753,O00296,P061,3,5698.31,0,186.41,17094.93,0,17094.93,559.23,16535.7,0.967286792
OI001495,O00589,P061,3,5698.31,0,186.41,17094.93,0,17094.93,559.23,16535.7,0.967286792
OI001956,O00772,P061,3,5698.31,0,186.41,17094.93,0,17094.93,559.23,16535.7,0.967286792
OI003916,O01568,P061,3,5698.31,0,186.41,17094.93,0,17094.93,559.23,16535.7,0.967286792
