order_id,customer_id,order_date,order_status
O00001,C0326,7/17/2025,Delivered
O00002,C0431,4/14/2025,Delivered
O00003,C0091,3/1/2026,Cancelled
O00004,C0161,10/29/2025,Delivered
O00005,C0172,11/11/2025,Delivered
O00006,C0181,3/19/2026,Delivered
O00007,C0123,7/31/2026,Pending
O00008,C0028,6/25/2025,Delivered
O00009,C0263,1/5/2025,Delivered
O00010,C0179,3/17/2026,Pending
O00011,C0172,1/1/2025,Delivered
O00012,C0133,2/10/2025,Delivered
O00013,C0465,8/26/2026,Delivered
O00014,C0306,6/9/2026,Cancelled
O00015,C0210,3/7/2026,Cancelled
O00016,C0103,5/24/2026,Cancelled
O00017,C0401,2/15/2025,Delivered
O00018,C0445,2/24/2025,Delivered
O00019,C0017,7/2/2025,Pending
O00020,C0465,1/15/2025,Pending
O00022,C0050,2/4/2025,Cancelled
O00023,C0377,11/27/2025,Pending
O00024,C0054,6/4/2026,Delivered
O00025,C0026,3/23/2026,Cancelled
O00026,C0058,5/23/2025,Delivered
O00027,C0230,10/13/2025,Delivered
O00028,C0310,11/30/2025,Delivered
O00029,C0204,4/12/2026,Delivered
O00030,C0061,9/17/2025,Pending
O00031,C0100,6/23/2025,Cancelled
O00032,C0427,4/29/2026,Cancelled
O00033,C0482,6/23/2026,Delivered
O00034,C0378,10/25/2025,Pending
O00035,C0052,1/18/2025,Delivered
O00036,C0410,11/1/2025,Pending
O00037,C0346,6/25/2026,Delivered
O00038,C0264,8/25/2026,Delivered
O00039,C0072,9/1/2025,Delivered
O00040,C0499,4/2/2025,Cancelled
O00041,C0222,12/14/2025,Delivered
O00042,C0023,5/21/2026,Delivered
O00043,C0105,7/29/2026,Delivered
O00044,C0201,2/1/2025,Cancelled
O00045,C0032,6/26/2025,Delivered
O00046,C0162,10/18/2025,Delivered
O00047,C0235,3/1/2025,Delivered
O00048,C0475,6/23/2026,Delivered
O00049,C0044,3/10/2025,Cancelled
O00050,C0289,2/9/2026,Cancelled
O00051,C0458,7/13/2026,Delivered
O00052,C0404,2/21/2026,Cancelled
O00053,C0463,4/10/2026,Delivered
O00054,C0086,6/10/2025,Cancelled
O00055,C0401,5/19/2026,Delivered
O00056,C0490,9/12/2025,Delivered
O00057,C0164,2/7/2025,Delivered
O00058,C0250,8/11/2025,Delivered
O00059,C0266,8/1/2025,Cancelled
O00060,C0247,11/14/2025,Pending
O00061,C0145,6/11/2025,Pending
O00062,C0486,10/9/2025,Delivered
O00063,C0479,9/18/2025,Delivered
O00064,C0191,7/18/2025,Delivered
O00065,C0403,2/28/2026,Cancelled
O00066,C0199,7/5/2025,Delivered
O00067,C0398,4/11/2026,Delivered
O00068,C0293,6/2/2025,Delivered
O00069,C0236,6/10/2026,Delivered
O00070,C0065,8/10/2025,Delivered
O00071,C0328,1/25/2025,Cancelled
O00072,C0161,4/2/2025,Delivered
O00073,C0109,5/6/2026,Pending
O00074,C0097,6/15/2026,Pending
O00075,C0491,5/9/2025,Delivered
O00076,C0052,1/2/2026,Pending
