order_id,payment_id,payment_date,payment_method,payment_amount,payment_status
O00001,PAY00001,7/17/2025,Credit Card,35528.83,Failed
O00002,PAY00002,4/14/2025,Credit Card,9200.96,Paid
O00003,PAY00003,3/1/2026,Net Banking,6805.34,Paid
O00004,PAY00004,10/29/2025,Credit Card,8096.06,Paid
O00005,PAY00005,11/11/2025,COD,24377.17,Refunded
O00006,PAY00006,3/19/2026,Net Banking,33519.99,Paid
O00007,PAY00007,7/31/2026,COD,19069.15,Refunded
O00008,PAY00008,6/25/2025,UPI,-2826.47,Failed
O00009,PAY00009,1/5/2025,Debit Card,46792.2,Refunded
O00010,PAY00010,3/17/2026,Debit Card,38644.1,Paid
O00011,PAY00011,1/1/2025,COD,41251.93,Refunded
O00012,PAY00012,2/10/2025,Debit Card,2092.33,Paid
O00013,PAY00013,8/26/2026,COD,3919.32,Paid
O00014,PAY00014,6/9/2026,Credit Card,34400.16,Paid
O00015,PAY00015,3/7/2026,COD,43774.2,Refunded
O00016,PAY00016,5/24/2026,Debit Card,23964.65,Paid
O00017,PAY00017,2/15/2025,COD,48700.68,Paid
O00018,PAY00018,2/24/2025,Credit Card,19409.12,Failed
O00019,PAY00019,7/2/2025,Credit Card,21721.96,Paid
O00020,PAY00020,1/15/2025,Debit Card,16887.13,Paid
O00021,PAY00021,6/25/2026,Debit Card,32548.33,Paid
O00022,PAY00022,2/4/2025,UPI,23959.59,Paid
O00023,PAY00023,11/27/2025,Net Banking,31382.72,Refunded
O00024,PAY00024,6/4/2026,Debit Card,26915.05,Paid
O00025,PAY00025,3/23/2026,UPI,13247.05,Refunded
O00026,PAY00026,5/23/2025,Debit Card,35323.67,Paid
O00027,PAY00027,10/13/2025,Net Banking,26545.79,Paid
O00028,PAY00028,11/30/2025,UPI,50033.17,Paid
O00029,PAY00029,4/12/2026,COD,34110.7,Refunded
O00030,PAY00030,9/17/2025,Net Banking,11309.17,Paid
O00031,PAY00031,6/23/2025,Credit Card,12369.79,Paid
O00032,PAY00032,4/29/2026,Net Banking,15843.68,Paid
O00033,PAY00033,6/23/2026,COD,25892.23,Refunded
O00034,PAY00034,10/25/2025,COD,26468.64,Paid
O00035,PAY00035,1/18/2025,Net Banking,49959.97,Refunded
O00036,PAY00036,11/1/2025,Credit Card,17306.38,Paid
O00037,PAY00037,6/25/2026,UPI,15088.14,Paid
O00038,PAY00038,8/25/2026,Credit Card,39295.28,Failed
O00039,PAY00039,9/1/2025,COD,31048.03,Paid
O00040,PAY00040,4/2/2025,Credit Card,17271.2,Paid
O00041,PAY00041,12/14/2025,Credit Card,37720.92,Paid
O00042,PAY00042,5/21/2026,COD,22167.27,Paid
O00043,PAY00043,7/29/2026,Credit Card,34572.63,Paid
O00044,PAY00044,2/1/2025,Debit Card,6052.02,Failed
O00045,PAY00045,6/26/2025,Credit Card,41687.02,Failed
O00046,PAY00046,10/18/2025,Credit Card,14881.56,Paid
O00047,PAY00047,3/1/2025,Debit Card,25755.95,Paid
O00048,PAY00048,6/23/2026,Net Banking,28119.87,Paid
O00049,PAY00049,3/10/2025,Credit Card,45074.19,Failed
O00050,PAY00050,2/9/2026,UPI,13128.79,Refunded
O00051,PAY00051,7/13/2026,Net Banking,35799.5,Paid
O00052,PAY00052,2/21/2026,Debit Card,36979.3,Paid
O00053,PAY00053,4/10/2026,Net Banking,22214.58,Failed
O00054,PAY00054,6/10/2025,Debit Card,6577.7,Refunded
