return_id,order_id,product_id,return_date,return_reason,refund_amount
RET00001,O00240,P059,6/20/2026,Late Delivery,17433.4
RET00002,O01463,P044,6/22/2025,Late Delivery,12109.77
RET00003,O01893,P049,5/6/2026,Late Delivery,5879.74
RET00004,O01529,P024,9/29/2026,Late Delivery,18611.76
RET00005,O01760,P053,3/5/2025,Damaged,1799.05
RET00006,O02191,P050,7/17/2026,Quality Issue,50
RET00007,O01408,P017,7/16/2026,Wrong Item,4857.25
RET00008,O01171,P055,7/1/2026,Damaged,3905.29
RET00009,O00100,P076,10/16/2025,Wrong Item,1644.18
RET00010,O01436,P023,6/24/2025,Quality Issue,4398.01
RET00011,O00213,P059,4/29/2026,Wrong Item,4842.61
RET00012,O01774,P049,2/25/2026,Damaged,23518.96
RET00013,O00771,P026,4/26/2026,Quality Issue,9846.59
RET00014,O01673,P017,7/27/2025,Damaged,19429.02
RET00015,O01552,P075,6/11/2025,Damaged,12498.64
RET00016,O01719,P052,8/5/2026,Quality Issue,14277.53
RET00017,O02054,P035,12/24/2025,Damaged,4566.5
RET00019,O01866,P029,8/20/2026,Late Delivery,3239.88
RET00020,O00943,P070,11/22/2025,Late Delivery,4738.75
RET00021,O01010,P040,7/31/2025,Damaged,5572.72
RET00022,O01032,P065,8/2/2026,Quality Issue,5172.28
RET00023,O00180,P009,4/19/2026,Late Delivery,15942.34
RET00024,O01655,P074,3/22/2026,Quality Issue,6224.61
RET00025,O01452,P063,9/7/2026,Wrong Item,4275.08
RET00026,O00379,P053,7/21/2025,Late Delivery,4021.41
RET00027,O00730,P009,9/26/2025,Wrong Item,11956.75
RET00028,O00372,P055,3/23/2025,Late Delivery,6248.46
RET00029,O01275,P066,10/11/2025,Damaged,11813.31
RET00030,O00157,P027,11/14/2025,Changed Mind,21580.01
RET00031,O02001,P060,11/18/2025,Damaged,2817.2
RET00032,O01967,P032,5/27/2025,Late Delivery,18545.1
RET00033,O01197,P064,6/13/2026,Wrong Item,8507.5
RET00034,O00279,P041,12/9/2025,Damaged,4035.2
RET00035,O01621,P016,11/10/2025,Late Delivery,13799.41
RET00036,O00921,P059,7/15/2026,Late Delivery,7748.18
RET00037,O01765,P059,12/8/2025,Late Delivery,4116.22
RET00038,O00113,P014,7/31/2026,Quality Issue,17685.95
RET00039,O01007,P018,7/7/2025,Damaged,10654.82
RET00040,O00875,P056,7/7/2026,Wrong Item,19344.06
RET00041,O00862,P076,9/25/2026,Damaged,1150.93
RET00042,O01246,P012,5/10/2026,Damaged,15178.45
RET00043,O00214,P034,7/31/2026,Damaged,14968.26
RET00044,O01302,P053,5/4/2026,Quality Issue,6772.9
RET00045,O00166,P045,2/12/2026,Changed Mind,9866.88
RET00046,O02003,P020,5/17/2026,Quality Issue,4355.33
RET00047,O01127,P058,9/9/2026,Wrong Item,14722.59
RET00048,O00648,P009,2/14/2026,Changed Mind,11956.75
RET00049,O00878,P071,4/3/2026,Wrong Item,13312.5
RET00050,O01374,P040,4/15/2025,Quality Issue,9385.63
RET00051,O00847,P006,9/8/2026,Late Delivery,10846.02
RET00052,O01709,P039,5/26/2026,Damaged,5763.39
RET00053,O00513,P075,6/2/2025,Late Delivery,5920.41
RET00054,O02088,P056,8/16/2025,Wrong Item,9672.03
RET00055,O00158,P054,7/9/2025,Changed Mind,21676.64
RET00056,O00436,P022,9/2/2025,Wrong Item,5363.2
RET00057,O01057,P018,7/27/2026,Damaged,2663.7
RET00058,O00702,P001,11/25/2025,Quality Issue,14421.11
RET00059,O01954,P074,10/30/2025,Wrong Item,24898.44
RET00060,O00789,P020,5/26/2026,Quality Issue,4867.72
RET00061,O01475,P044,10/2/2025,Wrong Item,7598.29
RET00062,O00319,P016,7/27/2026,Late Delivery,13799.41
RET00063,O00595,P055,5/12/2026,Changed Mind,5467.41
RET00064,O01141,P047,7/28/2025,Late Delivery,23627.07
RET00065,O00614,P004,3/1/2026,Changed Mind,10552.98
RET00066,O01968,P050,12/5/2025,Changed Mind,2382.7
RET00067,O02081,P052,9/16/2025,Damaged,22396.12
RET00068,O01011,P013,8/8/2026,Quality Issue,1163.84
RET00069,O00984,P021,10/17/2025,Late Delivery,4275.42
RET00070,O00990,P024,5/7/2025,Damaged,4963.14
RET00071,O01354,P025,10/23/2025,Quality Issue,8831.24
RET00072,O01543,P007,12/25/2025,Damaged,15522.2
RET00073,O01035,P058,5/13/2025,Changed Mind,7821.38
RET00074,O01108,P017,5/5/2026,Late Delivery,5112.9
RET00075,O01376,P050,7/12/2025,Damaged,10060.27
RET00076,O01066,P060,4/23/2025,Late Delivery,6690.85
RET00077,O00792,P054,1/6/2026,Wrong Item,10838.32
RET00078,O01142,P049,6/2/2025,Late Delivery,8664.88
RET00079,O00665,P027,5/28/2026,Damaged,13629.48
RET00080,O00008,P013,4/9/2025,Damaged,2826.47
RET00081,O02129,P071,10/30/2025,Changed Mind,2802.63
RET00082,O00819,P045,3/31/2025,Changed Mind,4385.28
RET00083,O01068,P051,10/9/2025,Damaged,2643.49
RET00084,O01498,P048,8/24/2026,Damaged,4310.39
RET00085,O00832,P017,3/13/2026,Wrong Item,4857.25
RET00086,O02112,P070,1/5/2026,Damaged,8479.87
RET00087,O01394,P036,5/31/2025,Changed Mind,3644.73
RET00088,O00231,P018,8/29/2025,Changed Mind,13318.52
RET00089,O01594,P041,10/7/2025,Changed Mind,1195.62
RET00090,O01423,P016,1/30/2026,Quality Issue,10924.53
RET00091,O01593,P047,6/29/2025,Changed Mind,12435.3
RET00092,O01227,P066,10/1/2026,Quality Issue,10569.8
RET00093,O00017,P047,3/13/2026,Changed Mind,16787.66
RET00094,O00445,P040,8/28/2025,Quality Issue,16718.16
RET00095,O01109,P039,5/5/2025,Changed Mind,10085.94
RET00096,O01310,P045,2/9/2026,Changed Mind,21926.4
RET00097,O01215,P027,11/15/2025,Changed Mind,4543.16
RET00098,O00586,P005,3/26/2026,Late Delivery,5312.54
RET00099,O01181,P014,2/9/2026,Wrong Item,9395.66
RET00100,O00831,P044,3/7/2026,Late Delivery,3799.14
RET00101,O01902,P046,6/27/2026,Damaged,24665.08
RET00102,O01804,P067,12/30/2025,Quality Issue,8946.63
RET00103,O00264,P015,4/25/2026,Quality Issue,27857.08
RET00104,O00125,P010,9/25/2025,Late Delivery,28280.74
