customer_id,total_spending,number_of_orders,average_order_value,purchase_frequency,recency_days,customer_lifetime_value,segment
C0001,19869.75,1,19869.75,1,412,19869.75,Inactive Customers
C0002,36618.9735,3,12206.3245,3,280,36618.9735,At-Risk Customers
C0003,254148.788,7,36306.96971428571,7,41,254148.78799999997,VIP Customers
C0004,67823.939,2,33911.9695,2,150,67823.939,Regular Customers
C0005,40392.739,2,20196.3695,2,53,40392.739,Regular Customers
C0006,80166.84850000001,2,40083.424250000004,2,150,80166.84850000001,High-Value Customers
C0007,47688.247,3,15896.082333333334,3,382,47688.247,Inactive Customers
C0008,70252.286,3,23417.428666666663,3,500,70252.286,Inactive Customers
C0009,105667.62849999999,5,21133.5257,5,49,105667.62849999999,High-Value Customers
C0010,92216.294,3,30738.764666666666,3,82,92216.294,High-Value Customers
C0011,96519.7605,4,24129.940125,4,246,96519.7605,At-Risk Customers
C0012,212039.2135,6,35339.868916666666,6,144,212039.2135,VIP Customers
C0013,82373.194,3,27457.731333333333,3,231,82373.194,At-Risk Customers
C0014,46776.023,3,15592.007666666666,3,287,46776.023,At-Risk Customers
C0015,9038.437,1,9038.437,1,407,9038.437,Inactive Customers
C0016,168521.4095,6,28086.901583333336,6,113,168521.4095,VIP Customers
C0017,158209.7225,6,26368.287083333333,6,8,158209.7225,VIP Customers
C0018,91153.054,5,18230.610800000002,5,188,91153.054,At-Risk Customers
C0019,125577.70999999999,5,25115.541999999998,5,108,125577.70999999999,High-Value Customers
C0020,172836.3025,6,28806.050416666665,6,44,172836.3025,VIP Customers
C0021,130370.514,4,32592.6285,4,247,130370.514,At-Risk Customers
C0022,137696.9205,4,34424.230125,4,219,137696.9205,At-Risk Customers
C0023,142481.7355,8,17810.2169375,8,102,142481.7355,High-Value Customers
C0024,27406.174,2,13703.087,2,129,27406.174,Low-Value Customers
C0025,61169.820999999996,3,20389.940333333332,3,97,61169.820999999996,Regular Customers
C0026,149526.2495,7,21360.892785714288,7,37,149526.2495,High-Value Customers
C0027,38907.221000000005,1,38907.221000000005,1,407,38907.221000000005,Inactive Customers
C0028,99367.67450000001,4,24841.918625000002,4,158,99367.67450000001,High-Value Customers
C0029,59577.7425,3,19859.2475,3,240,59577.74250000001,At-Risk Customers
C0030,184586.395,7,26369.484999999997,7,46,184586.395,VIP Customers
C0031,112006.791,5,22401.3582,5,95,112006.791,High-Value Customers
C0032,57120.709,3,19040.236333333334,3,192,57120.709,At-Risk Customers
